path,id,fullterm,tooltip/en,tooltip/es,tooltip/pt,resources/dwc/href,resources/dwc/meta/name,resources/dwc/meta/source,resources/symbdocs/href,resources/symbdocs/meta/name,resources/symbdocs/meta/source
terms,otherCatalogNumbers,Other Catalog Numbers,Any other identifier for a specimen record that is not the catalog number. This field is typically used to store the old catalog number for collections that are in the process of switching from one cataloging system to another (e.g. barcode system). Example(s): 12345. See Darwin Core's otherCatalogNumbers.,,,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,Other Catalog Numbers,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#otherCatalogNumbers,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,ownerInstitutionCode,Owner Code,"The acronym of the owning institution. Only enter a value if the owning institution is different than what was entered when the metadata for the collection institution was added to the portal. Example(s): NPS, Forest Service. See Darwin Core's ownerInstitutionCode.",,,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,Owner Code,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#ownerInstitutionCode,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,preparations,Preparations,"Preparation or preservation method for a specimen Example(s): in ethanol, skeleton. See Darwin Core's preparations.",,,http://rs.tdwg.org/dwc/terms/preparations,Preparations,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#preparations,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,recordedBy,Collector,"The name of the person who collected the specimen or made the observation. Example(s): C.G. Pringle, Goodding, L.N. See Darwin Core's recordedBy.",,,http://rs.tdwg.org/dwc/terms/recordedBy,Collector,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#recordedBy,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,recordNumber,Number,"The collection number assigned to the specimen by the collector. Example(s): 1294, 12490b, 94-132. See Darwin Core's recordNumber.",,,http://rs.tdwg.org/dwc/terms/recordNumber,Number,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#recordNumber,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,reproductiveCondition,Phenology (Reproductive Condition),"The reproductive stage the specimen is in. Typically used for plant and fungal collections. Example(s): flower, fruit, sterile. See Darwin Core's reproductiveCondition.",,,http://rs.tdwg.org/dwc/terms/reproductiveCondition,Phenology (Reproductive Condition),"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#reproductiveCondition,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,samplingProtocol,Sampling Protocol,"The names and references to methods used to collect or sample an occurrence Example(s): UV light trap, mist net, Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp., http://www.bsc-eoc.org/download/Owl.pdf. See Darwin Core's samplingProtocol.",,,http://rs.tdwg.org/dwc/terms/samplingProtocol,Sampling Protocol,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#samplingProtocol,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,scientificName,Scientific Name,"The Latin name of the specimen without the author. Could be anything from kingdom down to subspecies or variety, depending on the level of the identification. Example(s): Pinaceae, Pinus, Pinus edulis, Pinus edulis var. fallax. See Darwin Core's scientificName.",,,http://rs.tdwg.org/dwc/terms/scientificName,Scientific Name,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#scientificName,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,scientificNameAuthorship,Author,"The name of the person who first named the taxon. This field autofills after entering the scientific name as long as that taxon is in the taxonomic thesaurus. Example(s): L., Asa A. Gray. See Darwin Core's scientificNameAuthorship.",,,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,Author,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#scientificNameAuthorship,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,sex,Sex,"The biological sex of the occurrence. Example(s): female, male. See Darwin Core's sex.",,,http://rs.tdwg.org/dwc/terms/sex,Sex,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#sex,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,startDayOfYear,,,,,,,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#startDayOfYear,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,stateProvince,State/Province,"The name of the state or province in which the specimen was collected. As one types, a selection list will appear for the given country. Example(s): New York, Arizona, Sonora. See Darwin Core's stateProvince.",,,http://rs.tdwg.org/dwc/terms/stateProvince,State/Province,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#stateProvince,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,substrate,Substrate,"The substrate on which the specimen was collected. Mostly used for lichen and bryophyte specimens. Example(s): On basalt, trunk of oak. Darwin Core lumps this information into habitat.",,,http://rs.tdwg.org/dwc/terms/habitat,Substrate,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#substrate,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,taxonRemarks,Taxon Remarks,Any additional notes regarding the taxonomic name to which the specimen was identify. See Darwin Core's taxonRemarks.,,,http://rs.tdwg.org/dwc/terms/taxonRemarks,Taxon Remarks,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#taxonRemarks,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,typeStatus,Type Status,"The type designation of a specimen, if it is a type specimen Example(s): HOLOTYPE, ISOTYPE, PARATYPE. See Darwin Core's typeStatus.",,,http://rs.tdwg.org/dwc/terms/typeStatus,Type Status,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#typeStatus,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,verbatimAttributes,Description,"A physical description of the specimen at the time of collection. This often includes information that can be lost or difficult to observe after the collection and preservation process. Example(s): Shrub 3 m tall, corolla yellow. In a Darwin Core export, this is concatenated with occurrenceRemarks.",,,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,Description,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#verbatimAttributes,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,verbatimCoordinates,Verbatim Coordinates,"If the coordinates recorded on the specimen label are in a format other than decimal degrees, enter them here. Click the F (format) button to enter non-decimal formats (e.g., UTMs, degrees/minutes/seconds) and click Insert Coordinates. This will place the original format in Verbatim Coordinates and will auto-convert to decimal degrees in the Latitude and Longitude fields if these fields are blank. Click the “«” symbol to replace existing decimal values. Example(s): 34° 13.940′ N 112° 2.370′ W, 34d 13m 12.940s N 112d 20m 46.370s W, 12 420944E 4064025N, TRS: T40N R32E S29. See Darwin Core's verbatimCoordinates.",,,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,Verbatim Coordinates,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#verbatimCoordinates,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,verbatimDepth,Verbatim Depth,"The original verbatim description of the depth below the local surface at which the specimen was collected. Example(s): 100ft, 100 feet, ca 100′, ca 30m, 100′ +-10′. See Darwin Core's verbatimDepth.",,,http://rs.tdwg.org/dwc/terms/verbatimDepth,Verbatim Depth,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#verbatimDepth,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,verbatimElevation,Verbatim Elevation,"The verbatim elevation at which the specimen was collected. This is typically used to record an elevation measurement that was recorded in feet or an uncertainty designation. When the elevation in meters field is left blank, the value will automatically be converted to meters if you press Tab after entering a value in this field. Click the “«” symbol to replace the previously entered meters values. Example(s): 4500ft, 4500 feet, ca 4500′, ca 2000m, 4500′ +-300′. See Darwin Core's verbatimElevation.",,,http://rs.tdwg.org/dwc/terms/verbatimElevation,Verbatim Elevation,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#verbatimElevation,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,verbatimEventDate,Verbatim Date,"Can be used to record date exactly as entered on label. Particularly useful for non-standard date formats or date ranges. Example(s): Spring 1901, March-April 1952, late Sept. 1909. See Darwin Core's verbatimEventDate.",,,http://rs.tdwg.org/dwc/terms/verbatimEventDate,Verbatim Date,"Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#verbatimEventDate,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
terms,year,"Year, Month, Day","The numeric value of the year, month, and day at the time of collection. These fields are automatically populated when the date is entered. See Darwin Core's year, month, day.",,,http://rs.tdwg.org/dwc/terms/year; http://rs.tdwg.org/dwc/terms/month; http://rs.tdwg.org/dwc/terms/day,"Year, Month, Day","Darwin Core Quick Reference Guide, TDWG",https://biokic.github.io/symbiota-docs/editor/edit/fields/#year,Symbiota Data Fields,"Symbiota Docs, Symbiota Support Hub"
